title,performer
Anja Atkinson: Calmer Comedian (WIP),Anja Atkinson
Anna Beros – High Hoe,Adults Only Comedy Berlin / Free Festival
Anna Beros – The Devil in Miss Beros,Adults Only Comedy Berlin / Free Festival
Anna Leong Brophy: Born Sexy Yesterday,Impatient Productions
Anu Vaidyanathan: Allegory,Avani Films
Anna Thomas: How to Juggle a Ferret,Blue Book Artist Management
Annabelle James: Annabalism,Annabelle James
Annie Boyle: To All The Boys I've Loved Before,Bright Side Presents
Another Compilation Show Beginning With A,Tom Mayhew
Anti-Fascist Pasta Night,Ron Placone / Free Festival
Anyone For Tennis?,Pauline Eyre
Aoife Dunne: Good Grief,Aoife Dunne
Arabs and Asians,Salam & Holohan
The Ardbeg Comedy Lounge,Jane Ross and Hannah Ireland
Ari Eldjárn: The Icelander's Guide to Europe,Mick Perrin Worldwide
An Asexual Show About Cunnilingus by Eliott Simpson,Eliott Simpson / Free Festival
Armageddon Outta Here,Tom Johnson and Chris Roberts
Around the World in 80 Puns,Iain MacDonald / Free Festival
Artificially Intelligent Procrastinating Pundit,Denzil de Cristo
Ashish Vijh – Performative Male,Ashish Vijh
"Ashley Haden: Genocidal Liberal 2, Electric Boogaloo",Ashley Haden / Free Festival
Ashley Haden Presents Crosswords,Ashley Haden / Free Festival
"Asian, But Wrong",Ting Lim / Free Festival
The Asian Comedy Showcase,Bowtie Productions / Free Festival
Australia's Least Decorated Soldier,Jarryd Goundrey
Ask A Stripper: The Champagne Room,Ask A Stripper
An Audience with Charles Manson,K4K Films and Shortcut Productions
August McEachern: Be My Friend,August McEachern
Austentatious: An Improvised Jane Austen Novel,Show And Tell
Australia: A Comedian's Guide,Dan Willis / PBH's Free Fringe
Awkward and Depressed,Tim O'Hare
¡Ay! Papi: Jilberto Soto,Jilberto Soto
Ayo Adenekan: Homeland Insecurity,Brass Tacks Comedy and United Agents
Ayoade Bamgboye: Small Talk (WIP + Q A),Berk's Nest in association with PARKAS at Independent Talent
Ayoade Bamgboye: Swings And Roundabouts,Berk's Nest in association with PARKAS at Independent Talent
B48Y Crash Lands on Earth!,Lukas Meintjes
Barcelona Comedy Tapas: Bite-Sized Stand-Up,Christopher Groves
Baby Lame: Hit Me Baby One More Lame!,BIGHEAD Comedy
Baby Wants Candy,Baby Wants Candy
Back to the Fracture,The Malignant Humours
Bad Dates Anonymous: Dating Horror Story Confessions by Top Stand-Ups,RGB Monster
Bad Magicians – Improv to Make You Feel,Bad Magicians
BATSU!,Underbelly and BATSU! Moon
The Battered Book Club,PBJ Management
"""Be Good!"" with Paulette",Daniel Maseda
The Beat Goes On,The Glummer Twins
Beat the Comic,Some Funny Cluckers
Beer with a Queer,Jeff Klein
Bebe Cave: Swoon,BIGHEAD Comedy
Bec Hill's Work In Progress,Bec Hill
"Becky Fury: My Dad Paints Rainbows, Your Dad Paints Roundabouts",Becky Fury
Becky Umbers: Tell That Horse To Keep His Mouth Shut (WIP),RBM Comedy
Bedlam Late,Bedlam Fringe and Liebenspiel Proudly Present
Behemoth: StarStuck,Club Sandwich Productions
Behind the Laughter,Henry Churney T/A Laugh For Life Comedy (LFLC)
Bella Hull: Mad Cow Disease,Queenie Miller for Hat Trick Productions in association with Avalon
Bella Humphries: Big Sister Energy,Bella Humphries
Ben Ashurst: The Worst Man,Ben Ashurst / Free Festival
Ben Miller: All the Things That Are Wrong with My Body (WIP),Ben Miller
Ben's Book Club,Mirador Talent Group
Ben Pope: Work in Progress,Ben Pope
Benefit Gala for Lui,Various
Benji Waterhouse: Madsplaining (WIP),Benji Waterhouse
Benji Waterhouse: Second Opinion (WIP),Benji Waterhouse
Bennet Kavanagh and Sasha Ellen: Get a Room,Bennet Kavanagh and Sasha Elle
Berk Karan – Dul,TuzBiber Stand-Up
Best in Class,Best in Class CIC
The Best Nerd Fest Showcase,Bowtie Productions / RGB Monster / Free Festival
Best of Edinburgh Fringe Comedy,Art of Comedy
Best of Edinburgh Showcase,Joss Jones at Cosmic Comedy / EdCom Productions
The Best of Jay Sodagar,Jay Sodagar
The Best of Scottish Comedy,The Stand Comedy Club
Best of So You Think You're Funny?,Gilded Balloon
Best of the Fest,Assembly Festival
Best of the Fest: The New Class,Assembly Festival
Best of the Queer Fringe,The Queer Comedy Club
Betsy Carroll's Slippery When Wet,Betsy Carroll
Biff to the Future,Joseph Maudsley directed by Daniel Clarkson produced by Seabright Live
The Big Fat Whisky Quiz,Jane Ross and Mike Doherty
Big Naked Comedy Show,Paul Savage
The Big Show: Monkey Barrel Comedy's Fringe Showcase!,Monkey Barrel Comedy and various artists
Big Tobacco's Pinocchio,Big Tobacco
Big Value Showcase,Standing On Productions
Bilal Zafar: Rubicon,Bilal Zafar
Billy Kirkwood: Mayhem,Billy Kirkwood
Bin Fire,Jacob Hatton and Richard Stott
Birdbrained,The Sketchy Gooses
BIRDS: Alex Hines and Sarah Stafford,House of Oz and Sons of Susan
Biscuit Barrel: The 69-Sketch Show,The Biscuit Barrel
Bite Me Comedy,Bianca Boorer and Francesca Rainey
The Bite: Mixed-Bill Stand-Up,Stags and Hogg / Free Festival
Bits 'n' Pieces,Craicatoa Comedy
Blind Mirth Presents: Improv with a Twist,Blind Mirth
Blip Barp: An Alien Love Story,Alicia Queen
Blizzard (WIP),Piotr Sikora
Blood Me Up Marjorie!,Steve Hemsley and Aly Cranston from Project M Productions
Blood on the Clocktower: Live,Treehouse Entertainment in association with The Pandemonium Institute
Bob Graham – Tap Dancing on a Sinking Ship,Drumhead Comedy / Bob Graham
Bob Koomen: Pear,From Amsterdam
Bone Man Rides Again,Bone Man / PBH's Free Fringe
#BorderlandsComedy,Justin Cassidy / Bunny Martinez / Free Festival
Bloody Knees,Bloody Knees
Bloomin' Late,Seriously Funny Business
Bound and Gags,Thao Cao
Boxticker,Becky Price
Brainwashed,Alina Konon
Bread and Circuses,Seamus Lavan
Brit Barron: CHURCH,Brit Barron
British. Broken. Chinese. (WIP),Vinny Shiu
The Breakfast Club,Ben Ashurst / Free Festival
Brendan Scannell: The Abyss,RBM Comedy
Bring Yer Bairn Comedy,Good Egg Comedy
Britney: Holy Mackerel!,Country Mile Productions
Broads in the Attic,Broads in the Attic
Bróccán Tyzack-Carlin: Good News! It's Been Destroyed,Salam & Holohan
Bron Lewis: Chaos,Impatient Productions
Bruce Devlin: Mummy Loves M S,Bruce Devlin
Bruce Fummey: Scotland Made the World,Bruce Fummey
Brunch Show – Jake Patrick (WIP),BITS
The Brush,Incidental Films LLC
Bryn Woz: SMUT,Bryn Woz
Buddha vs Jesus,Raul Kohli / A Comedy Brand
The Buddha Wears Prada,Sofia May
A Bunch of Characters – Hugo Hayes,Hugo Hayes
Burce Tutku Tuncali: Perfectly Imperfeckt!,Burce Tutku Tuncali
Burger and a Pint: Treats for the Soul,Impatient Productions
Buse Sinem İren,TuzBiber Stand-Up
Butter,Richy Sheehy / Free Festival
Cabbage the Clown: Cinemadrome,BIGHEAD Comedy
CADET KELLY IS THE BEST MOVIE I'VE EVER SEEN IN MY FRIGGIN LIFE,Ben McCarthy
Caitriona Dowden: Sesh Head,Caitriona Dowden / PBH's Free Fringe
The Cambridge Footlights Tour Show 2026,The Cambridge Footlights
The Cambridge Impronauts,The Cambridge Impronauts
Camilla Borges: Be Not Afraid!,Camilla Borges
"Candace Bryan: Don't Be Ridiculous, Everybody Wants This",Candace Bryan
The Candidates,The Party's Dead Productions
Captain Code,Ziyin / Free Festival
Carl Carzana THE Comedian Creative Genius,Carl Carzana / Free Festival
Carl Donnelly: Extra Show!,Ebdon Management
Carnival of Light,Consignia
Caroline McEvoy: RAGIN' (Work in Progress),Caroline McEvoy
Carwyn Blayney: Work in Progress,Carwyn Blayney
Casey Filips: What a Character,Casey Filips
Catherine Bohart: Work in Progress,Soho Theatre
Cecily Hitchcock: Family Recipe,Avalon
Celine Kuklowsky: Bed Boy,Celine Kuklowsky
Celya AB: We Must Stop Meeting Like This,Berk's Nest in association with PBJ Management
Cerys Bradley: On Road Signs WIP,Ingenious Fools Ltd
Chad Goes Deep – Chill Towards Enlightenment,Live Nation
Charlene Kaye: Diversity Shredder,Charlene Kaye
Charlie Lewis: Hungry!,Charlie Lewis / Free Festival
Charlie Vero-Martin: Poltergeist (WIP),Charlie Vero-Martin
ChatLGBT,"Bianca Boorer, Jordan Bonner, Willow Marler, and Robert Gould"
Chloe Campbell Bites Back,Chloe Campbell
Cheese Chuckles,Sarah Conrad
Chef! Gimme One of Everything!,Ricky Mayhem
Chelsea Birkby: Is In Full Control The Entire Time,Chelsea Birkby
Cheryl Hurst: Lots More Mr Nice Guy,Cheryl Hurst
Chief Petty Officer,Neon Flamingo
Chloe Jacobs: Twilight: Breaking Down,Chloe Jacobs
Chortle Student Comedy Award Final,Chortle
Chris and Lizzie Hall present: Stay Hydrated Live!,W!ZARD Live
Chris Cantrill: Rewilding,A Lovely Time
Chris Forbes: Father Christmas,Brass Tacks Comedy
Chris Forbes: Stop Watering Dead Flowers,Chris Forbes
Chris Grace: 88%,Chris Grace
Chris Martin Lied To Us,Will Spence
Chris Parker: Take A Good Hard Look At Me,Berk's Nest in association with Jubilee Street Management
Chris Rutter: Ignorance Is Chris,Chris Rutter
Chris Turner: In The Moment,Chris Turner
Christian Dart: GUMSHOE!,Christian Dart
Christof(oros) Epaminondas and Friend(s): Way Too Supportive,Christof Epaminondas
Christopher Beanland: Hipster Hell – Small Plates Ruined My Life (WIP),Christopher Beanland / PBH’s Free Fringe
Christopher Hall: Pizazz,Mick Perrin Worldwide in association with PBJ Management
CHUCK,Carolyn Castiglia / PBH's Free Fringe
CIA Shaman,Jessica Brodkin
The Circus of Public Opinion,Leamprov
Cobin Millage and Pete Carson: Touching Tips (with Friends),Cobin Millage and Pete Carson
Citizen Chen,Scarlet Productions
CK Nath: 'A Bit of Foreign Stuff' (WIP),CK Nath
Claire Robin: NUN SLUT,Claire Robin
A Clean Comedy Show,Callum Mackenzie / Free Festival
Closure Cabaret,Maria Ansdell
"Cobin Millage: I Promise That I Am Banksy, and There's No Reasonable Way for You to Prove That I'm Not (WIP)",Cobin Millage
Coco The Time-Travelling Tart,Max Norman
Cody Dahler Presents: The Truth (In My Opinion) LIVE!,Cody Dahler
Comedian Cover Bands,100% Comedy / Free Festival
A Comedian's Drinking Game,Presented by Raul Kohli
A Comedian's Guide to Birdwatching,Donal Vaughan
Comedy Brunch,Only Joking Comedy
The Comedians Paradise,Marvin McCarthy
Comedians Play Video Games,"Jake Baker, Steffan Alun, Cerys Bradley"
Comedians Pub Games and Beer Mat Flipping,Stuart Laws
Comedy Against Humanity (321... on Fire!),Rise Above Performances
Comedy Bingo,Laugh Mob Entertainment
Comedy Canopy,Stephen Gordon presents...
The Comedy Chaos Gameshow,Kie Carson
Comedy Compilation Show,Adam Morrison / MW Productions / Free Festival
Comedy for the Curious: 2026,Robyn Perkins
Comedy Headliners,Last Dodo Entertainment
Comedy in the Dark,Standing On Productions
Comedy Lock-in,RGB Monster
Comedy Night at the Museum,Gilded Balloon
Comedy Queers,Best in Class CIC
Comedy Sheep: All Star Stand-Up Showcase!,Comedy Sheep
Comedy Striptease,Laugh Mob Entertainment
A Comedy World Cup,Laugh Mob Entertainment
Comfortable,Hanna Kanon / Free Festival
Coming Through,Pure Leo Ltd
A Complete Idiot's Guide to New Zealand,Sully O'Sullivan
Confessions of a Serial Mother,Emma Buckle
Connor Burns: FLOW,AYD and MZA present
Connor Burns: FLOW (Plus Support),AYD and MZA present
Cool WIP Club,Best in Class CIC
The Confessional,Daniel Delby and Cameron McLaren
Cordelia Graham: Faint Heart Never F*cked A Pig,Cordelia Graham
Cosmopolitan – Aliki Tsakoumi,Aliki Tsakoumi
Creepy Boys: SLUGS,Creepy Boys
Couplet: Folk Marry Kill,Couplet
Courtney Büchner: One of the Girls,Salam & Holohan
Craig Hill: You're Not Even Safe Up the Back!,"AYD, MZA and CHiLL present"
Craig Speirs: Problem Child,Craig Speirs
Craig Wilson: This Might Be Nothing,Craig Wilson
The Cringe Factor: Rock’n’Roll Part 2,"Laughing Horse Comedy, Ian Fox and Free Festival Funny Cluckers"
Critics' Choice Comedy Showcase,RGB Monster in association with British Comedy Guide
CROWD WORK,Avalon
Crowley Time: Link's Gambit,Tom Crowley
Crudi Dench: Someone Help Her!,Crudi Dench
Crybabies: The Scaring,Francesca Moody Productions in association with Plosive Live
Cut Off,Noah Matthews and Max Devine
Crystal Unclear: An Improvised Séance,Shellshock! Improvised Comedy
CSI: Crime Scene Improvisation,The Chandeliers
Cult,Nevermore Theatre
CVNT,Sophie Power
Cyberbully,Kat Baker and Lucy Hassett
Cyclopath Stand-Up and Songs Vol III,Dion Owen
Cüneyt Nergiz,TuzBiber Stand-Up
CUT,Paperlight Theatre
"Dad, White and Blue",Ben Herwitz
"Daisy M Stone: Well, This Is Sketchy",Daisy M Stone
Damn Me (to Hell),The Elephant and the Mouse
Dan James: Lucky,Dan James / Free Festival
Dan Kelly: How I Went to Every Supermarket in the World,Dan Kelly
Dan Rath: Help Me Please,Dan Rath
Daniel Downie: Alba,Daniel Downie
Dane Buckley: Darling,Off The Kerb Productions
Daniel Foxx: How Lovely.,Off The Kerb Productions
Daniel Petrie and Valeria Vulpe,And Your Dog Presents
Darren Walsh: It's a Quarter Tutu,Darren Walsh
Daniel Sloss: BITTER,"AYD, MZA and Get Slossed present"
Darryl J Carrington: Tennish,Darryl J Carrington
"Danny O'Brien: Sure Look, Be Grand.",Danny O'Brien
Dave Chawner: Dry Humour,Dave Chawner
Danny Ward: The Holiday,Danny Ward / PBH’s Free Fringe
Darren Gaffney: The Full Gaffney,Darren Gaffney / Scottish Comedy Festival
Dave Durkan: Durk in Progress,Ebdon Management
David Alnwick: Magician. Not Creepy.,David Alnwick / PBH's Free Fringe
David Correos: Noise Zealand,IAM in association with Century and Notorious
David Elms Describes a Room,Celia Dugua and Berk's Nest in association with PBJ
David Hoare: How To Live To 100,David Hoare
David Hoskin: Little Bit Horrible. Little Bit Good / Death Clock (WIP),David Hoskin
Davina Bentley: Dancing While Old,Blue Book Artist Management
Davro's Back! Bobby Davro,Bobby Davro
Dead Parent Society – Chris Groves,Christopher Groves
David O'Doherty: At This Stage,David O'Doherty
David Tsonos: Club Comedian,David Tsonos
David William Bryan Dies On Stage,David William Bryan
Deage Paxton: Dead Man's Hand,Deage Paxton
Deage Paxton: Immature,Deage Paxton
Dee Allum: Raumdeuter,Chambers Touring Ltd
Deirdre O’Kane – Work in Progress,Deirdre O'Kane / Blue Book Artist Management
Demi Adejuyigbe Sells Out,Soho Theatre
Deniz Göktaş,TuzBiber Stand-Up
Derek Demko's Last Day of Camp!,Derek Demko
Derek Mitchell: Work in Progress,Impatient Productions
Destroy Capitalism or Die Tryin' (WIP),Tom Mayhew
The Devil Wears Primark,Rachael Milne
Devin Gray: Golden Retriever Energy,Devin Gray Comedy
Disabled Cants,Ingenious Fools Ltd
Ditko,Astro Domino
Do the Thing: Choose Your Own Musical,Do the Thing / Free Festival
The Dodgy Accent Show,1k Comedy Productions / Free Festival
Dreamgun Film Reads,Dreamgun Film Reads
Dom McGovern: Prize Hog,United Agents
"Doris, Dolly and the Dressing Room Divas",Gilded Balloon
Dru Cripps: Juicy Bits,Dru Cripps
The Drunk and Heckle Show,David Tsonos
The Double G Comedy Rodeo,Double G Comedy
Dr Jimmy: First Steps Into the Gay-niverse,James Robert Lyon / Free Festival
Dr Kara Kibara – The Love Guru,"Joyce Lao,produced by The Ally Artists Group"
The Durham Revue: Raiders of the Lost Laughs,The Durham Revue
Eat Pray Cult,Amy Brown Carver / Free Festival
Ed Byrne: Work in Progress,Ed Byrne / Free Festival
Edinburgh Comedy Allstars,Underbelly Productions
Ed Gaughan: The Emperor,Ed Gaughan
"Ed Mulvey: For Sale – Dead Dog, Never Worn",Ed Mulvey / PBH's Free Fringe
"Ed Night: We'll Be Alright, Darling",Standing On Productions
Ed Patrick: Numb and Number (Work in Progress),Ed Patrick
Edinbra Fringe Comedy,Art of Comedy
Edinburgh Fringe Comedian of the Year,Need To Know Comedy
The Edinburgh Fringe Comedy Podcast: Live Recording,RGB Monster
Edith Alibec: The Void,Edith Alibec / PBH's Free Fringe
Ele McKenzie: Bringing It All Back Home,Country Mile Productions in association with PARKAS and Independent Talent
Eleanor Morton: The Mermaid,Eleanor Morton
The Elephant in the Room: An Improvised Comedy Show,Leamprov
Elouise Eftos: Aphrodite,Show And Tell in association with Century and Curtis Brown
Elf Lyons is The Woman on the Edge,Mick Perrin Worldwide in association with PBJ Management
Eli Matthewson: Blood Bender,ELI MATTHEWSON
Elise Harris: Better Be Best,Elise Harris / PBH's Free Fringe
Ellie Summerling's Tomato Soup,Ellie Summerling
Elliot Wengler: Jokemon,Elliot Wengler / Select Comedy Productions
Em Humble: Lady of the Lakes,IAM
Em Stroud: Navigating Life,Bo Warner Productions
Emma Davies: You Are All Resources,Emma Davies
Emma Doran: Emmaculate,Avalon
Emma Holland: The Dog Dies at the Start,Impatient Productions
"Emoji: The Hieroglyphs of Our Time, or how I learned to stop worrying and send the risky text","Aarushi Agni (New York, USA)"
The End of Reason,"Olly Miller, Hannah Lloyd Davies and Dillon Harris"
"An Englishman, an Irishman and a Scotsman","Danny O' Brien, Rick Molland, Billy Kirkwood"
Emmanuel Sonubi: What's Next? (WIP),Emmanuel Sonubi / PBH's Free Fringe
Emmeline Downie: Gail,IAM
"Emmy Fyles: Not Like That, You're Doing It Wrong",Emmy Fyles
Enrico Touché: Hot Knees,Enrico Touché
Enterteasement: Comedy! Magic! Burlesque!,Enterteasement
Eppie Brilliant and Gareth Harrison: Alright Now,Gobful Promotions
Eric Lampaert: Zero Minus One,Eric Lampaert
Eric Rushton: Could Well Be In,Chambers Touring Ltd
Eric's Tales of the Sea – A Submariner's Yarn,Eric
Eryn Tett: Tasting Menu,Eryn Tett
Escocia con Ñ,Jotace Loaiza
Esther Manito: Ranting Queen (Work in Progress),Ebdon Management
Ethan Gigi Present: THE MOVEMENT,Ethan & Gigi
Eva Peroni: Jungled,Brass Tacks Comedy
Evaldas Karosas: A Very Capable Man,Off The Kerb Productions
...Eventually by James Beckett,James Beckett
Every Day's A School Day,Mark Row
Extraordinary Alien,Debra Tammer
Every Ghost Story Ever,Four Presidents
Every Single Sound in the World,Natalie Patuzzo
Everybody's Dating Ollie,Oliver Yates
