title,performer
Andre's Guide to Women,The Moon Pact / PBH's Free Fringe
"Andrew and Carrie: A Night of Comedy, Violins and Violence",Andrew Cornelius and Caroline Nagy
Andrew Cornelius: American Apology Tour,Andrew Cornelius
Andrew Doherty: Reviewers Welcome... TO DIE!,Avalon
Andrew Maxwell,GetComedy / Eejits of the World
"Andrew O'Neill: A Short, Aggressive Lecture On Krill. Then Jokes",Andrew O'Neill
Andrew O'Neill's History of Punk,Andrew O'Neill
Andrew Ryan: Honest Capacity,Off The Kerb Productions
Andrew White: What a Life!,Ebdon Management
Andy Barr: A Comet Appears (WIP),Andy Barr
Andy Field: Giddy Up,Andy Field
Andy Roach: Best Comedy Newcomer,Andy Roach
Angel Comedy Showcase,Angel Comedy
Angela Bra – Secret Diary of a Bingo Call Girl,Angela Bra
Angle of the North: Natalie Durkin,Natalie Durkin / PBH's Free Fringe
Ania Magliano: Peach Fuzz,Country Mile Productions in association with Avalon
Animal?,Gabrielle MacPherson / Free Festival
Anime-Zing! Game Show,Soness Stevens Kitano / Free Fringe
